id,tag,ocid,buyer_id,buyer_name,tender_id,tender_hasTenderInformationProtectedByLaw,tender_title,tender_mainProcurementCategory,tender_procurementMethodDetails,tender_procurementMethod,tender_numberOfTenderers,tender_value_amount_PEN,tender_tenderPeriod_startDate,tender_procuringEntity_id,tender_procuringEntity_name,main_ocid_adjudicacion,awards_total,value_amount_final_PEN_adjudicacion,value_amount_max_PEN_adjudicacion,date_min,date_max,main_ocid_contratacion,contracts_total,value_amount_final_PEN_contratacion,value_amount_max_PEN_contratacion,dateSigned_min,dateSigned_max,implementation_value_total_PEN,implementation_endDate_max,contracts_with_implementation_data,total_cost_overrun_PEN
ocds-dgv273-seacev3-1075016-2026-03-20T10:13:25.818101-05:00,compiled,ocds-dgv273-seacev3-1075016,PE-CONSUCODE-200019,MTC-PROYECTO ESPECIAL DE INFRAESTRUCTURA DE TRANSPORTE NACIONAL (PROVIAS NACIONAL),1075016,False,CP-SM-30-2024-MTC-20-1,services,Concurso Público,open,45.0,9427324.37,2024-11-28T00:00:00-05:00,PE-CONSUCODE-200019,MTC-PROYECTO ESPECIAL DE INFRAESTRUCTURA DE TRANSPORTE NACIONAL (PROVIAS NACIONAL),ocds-dgv273-seacev3-1075016,1,5971520.0,5971520.0,2025-02-20 00:00:00-05:00,2025-02-20 00:00:00-05:00,ocds-dgv273-seacev3-1075016,1,5971520.0,5971520.0,2025-03-24 00:00:00-05:00,2025-03-24 00:00:00-05:00,5971520.0,2025-09-29 00:00:00-05:00,0,0.0
ocds-dgv273-seacev3-1155304-2025-12-07T10:03:08.005729-05:00,compiled,ocds-dgv273-seacev3-1155304,PE-CONSUCODE-200121,MTC - AUTORIDAD PORTUARIA NACIONAL,1155304,False,CP SER-SM-1-2025-APN-1,services,Concurso Público de Servicios,open,10.0,47553871.06,2025-09-26T00:00:00-05:00,PE-CONSUCODE-200121,MTC - AUTORIDAD PORTUARIA NACIONAL,ocds-dgv273-seacev3-1155304,1,61900738.92806815,61900738.92806815,2025-11-05 00:00:00-05:00,2025-11-05 00:00:00-05:00,ocds-dgv273-seacev3-1155304,1,0.0,,2025-12-05 00:00:00-05:00,2025-12-05 00:00:00-05:00,0.0,2026-02-15 00:00:00-05:00,0,0.0
ocds-dgv273-seacev3-165639-2025-07-05T17:29:32.347991-05:00,compiled,ocds-dgv273-seacev3-165639,PE-CONSUCODE-200019,MTC-PROYECTO ESPECIAL DE INFRAESTRUCTURA DE TRANSPORTE NACIONAL (PROVIAS NACIONAL),165639,False,AMC-CLASICO-110-2015-MTC/20-1,services,Adjudicación de Menor Cuantía,open,4.0,39925.0,2015-09-09T00:00:00-05:00,PE-CONSUCODE-200019,MTC-PROYECTO ESPECIAL DE INFRAESTRUCTURA DE TRANSPORTE NACIONAL (PROVIAS NACIONAL),ocds-dgv273-seacev3-165639,1,38500.0,38500.0,2015-09-14 00:00:00-05:00,2015-09-14 00:00:00-05:00,ocds-dgv273-seacev3-165639,1,38500.0,38500.0,2015-09-24 00:00:00-05:00,2015-09-24 00:00:00-05:00,38500.0,2015-12-24 00:00:00-05:00,0,0.0
ocds-dgv273-seacev3-820280-2025-06-25T16:59:56.527754-05:00,compiled,ocds-dgv273-seacev3-820280,PE-CONSUCODE-10231,MTC-PROYECTO ESPECIAL DE INFRAESTRUCTURA DE TRANSPORTE DESCENTRALIZADO - PROVIAS DESCENTRALIZADO,820280,False,AS-SM-4-2022-MTC/21-1,services,Adjudicación Simplificada,open,23.0,92765.08,2022-04-18T00:00:00-05:00,PE-CONSUCODE-10231,MTC-PROYECTO ESPECIAL DE INFRAESTRUCTURA DE TRANSPORTE DESCENTRALIZADO - PROVIAS DESCENTRALIZADO,ocds-dgv273-seacev3-820280,1,83488.58,83488.58,2022-08-02 00:00:00-05:00,2022-08-02 00:00:00-05:00,ocds-dgv273-seacev3-820280,1,83488.58,83488.58,2022-08-09 00:00:00-05:00,2022-08-09 00:00:00-05:00,83488.58,2022-11-30 00:00:00-05:00,0,0.0
ocds-dgv273-seacev3-2023-206330-20-2025-06-24T16:44:13.380520-05:00,compiled,ocds-dgv273-seacev3-2023-206330-20,PE-CONSUCODE-204448,AUTORIDAD DE TRANSPORTE URBANO PARA LIMA Y CALLAO,890989,False,AS-SM-6-2023-ATU-1,goods,Adjudicación Simplificada,open,22.0,124336.63,2023-03-30T00:00:00-05:00,PE-CONSUCODE-204448,AUTORIDAD DE TRANSPORTE URBANO PARA LIMA Y CALLAO,ocds-dgv273-seacev3-2023-206330-20,1,61900.0,61900.0,2023-04-26 00:00:00-05:00,2023-04-26 00:00:00-05:00,ocds-dgv273-seacev3-2023-206330-20,1,61900.0,61900.0,2023-05-30 00:00:00-05:00,2023-05-30 00:00:00-05:00,61900.0,2023-06-29 00:00:00-05:00,0,0.0
