id,name,identifier_id,identifier_scheme,identifier_legalName,contactPoint_telephone
PE-CONSUCODE-10231,MTC-PROYECTO ESPECIAL DE INFRAESTRUCTURA DE TRANSPORTE DESCENTRALIZADO - PROVIAS DESCENTRALIZADO,10231,PE-CONSUCODE,MTC-PROYECTO ESPECIAL DE INFRAESTRUCTURA DE TRANSPORTE DESCENTRALIZADO - PROVIAS DESCENTRALIZADO,
PE-CONSUCODE-204448,AUTORIDAD DE TRANSPORTE URBANO PARA LIMA Y CALLAO,204448,PE-CONSUCODE,AUTORIDAD DE TRANSPORTE URBANO PARA LIMA Y CALLAO,2242444.0
PE-CONSUCODE-200121,MTC - AUTORIDAD PORTUARIA NACIONAL,200121,PE-CONSUCODE,MTC - AUTORIDAD PORTUARIA NACIONAL,11111111.0
PE-CONSUCODE-200019,MTC-PROYECTO ESPECIAL DE INFRAESTRUCTURA DE TRANSPORTE NACIONAL (PROVIAS NACIONAL),200019,PE-CONSUCODE,MTC-PROYECTO ESPECIAL DE INFRAESTRUCTURA DE TRANSPORTE NACIONAL (PROVIAS NACIONAL),6135555.0
